xr	 fx
-15.999947	 -19.999893
-15.799947	 -19.599894
-15.599947	 -19.199894
-15.399947	 -18.799892
-15.199947	 -18.399893
-14.999947	 -17.999893
-14.799947	 -17.599894
-14.599947	 -17.199894
-14.399947	 -16.799892
-14.199947	 -16.399893
-13.999947	 -15.999893
-13.799947	 -15.599894
-13.599947	 -15.199894
-13.399947	 -14.799892
-13.199947	 -14.399893
-12.999947	 -13.999893
-12.799947	 -13.599894
-12.599947	 -13.199894
-12.399947	 -12.799892
-12.199947	 -12.399893
-11.999947	 -11.999893
-11.799947	 -11.599894
-11.599947	 -11.199894
-11.399947	 -10.799892
-11.199947	 -10.399893
-10.999947	 -9.999893
-10.799947	 -9.599894
-10.599947	 -9.199894
-10.399947	 -8.799892
-10.199947	 -8.399893
-9.999947	 -7.999893
-9.799947	 -7.599894
-9.599946	 -7.199894
-9.399946	 -6.799892
-9.199946	 -6.399893
-8.999946	 -5.999893
-8.799946	 -5.599894
-8.599946	 -5.199892
-8.399946	 -4.799892
-8.199946	 -4.399893
-7.999946	 -3.999893
-7.799946	 -3.599893
-7.599946	 -3.199893
-7.399946	 -2.799893
-7.199946	 -2.399893
-6.999946	 -1.999893
-6.799946	 -1.599893
-6.599946	 -1.199893
-6.399946	 -0.799892
-6.199946	 -0.399893
-5.999946	 0.000107
-5.799946	 0.400107
-5.599946	 0.800107
-5.399946	 1.200108
-5.199946	 1.600107
-4.999946	 2.000107
-4.799946	 2.400107
-4.599946	 2.800107
-4.399946	 3.200108
-4.199946	 3.600107
-3.999946	 4.000107
-3.799946	 4.400107
-3.599946	 4.800107
-3.399946	 5.200107
-3.199946	 5.600107
-2.999946	 6.000107
-2.799946	 6.400107
-2.599946	 6.800107
-2.399946	 7.200107
-2.199946	 7.600107
-1.999946	 8.000107
-1.799946	 8.400107
-1.599946	 8.800107
-1.399946	 9.200108
-1.199946	 9.600107
-0.999946	 10.000107
-0.799946	 10.400107
-0.599946	 10.800107
-0.399946	 11.200108
-0.199946	 11.600107
0.000054	 12.000107
0.200054	 12.400107
0.400054	 12.800107
0.600054	 13.200108
0.800054	 13.600107
1.000054	 14.000107
1.200054	 14.400107
1.400054	 14.800107
1.600054	 15.200108
1.800054	 15.600107
2.000054	 16.000107
2.200054	 16.400108
2.400054	 16.800108
2.600054	 17.200108
2.800054	 17.600107
3.000054	 18.000107
3.200054	 18.400108
3.400054	 18.800108
3.600054	 19.200108
3.800054	 19.600107
